# MPVs,MPV err,Gains
1.673204921236949531e+03,3.202503497623511830e+00,8.239689799963075245e+01
1.564075292875566674e+03,2.946593387634485861e+00,8.096239020266959585e+01
1.468730445937098466e+03,3.731512664403757285e+00,7.895861918232095888e+01
1.474078386595973825e+03,3.895585176245085712e+00,8.412069744388054460e+01
1.493039774291217327e+03,2.476837302733544188e+00,8.248936692942011462e+01
6.463566075125369252e+02,1.570881682493940890e+00,8.098164210683968633e+01
6.087700773508602197e+02,1.707992234107611251e+00,8.551890962758277226e+01
5.749551286558067886e+02,2.258939459659324633e+00,8.256718942634971370e+01
5.658773078233118667e+02,1.976369950831587285e+00,8.159684842949475581e+01
5.079557838821424411e+02,2.621064973804676956e+00,8.330978803618313577e+01
4.672798315588275386e+02,3.361815657049795902e+00,8.806461533761459748e+01
4.885009830686665282e+02,2.518421605276374375e+00,8.806852510995247485e+01
4.856759105876265608e+02,2.521383245415121266e+00,8.338808014893676557e+01
4.739965041876408236e+02,2.580065048228755042e+00,8.378402420426634478e+01
4.546734247740483852e+02,2.944659200151117151e+00,8.405846430611457265e+01
4.523262826784414301e+02,2.875135840685138611e+00,8.514190312335249189e+01
4.198497094614269258e+02,3.632531537710955938e+00,8.397056041999866238e+01
4.415229952122948021e+02,2.987406601169858789e+00,8.987677281636136684e+01
4.187879896614228983e+02,3.321321936556827392e+00,8.509955382032485716e+01
3.960113184097334056e+02,3.767347073338747077e+00,8.410633604807190977e+01
